t90	t90_error
17.408	 4.382
17.408	 3.238
17.408	 3.238
17.600	 1.820
17.664	 3.258
17.664	 1.950
17.664	 1.639
17.664	 3.367
17.664	 1.619
17.664	 0.345
17.664	 0.572
17.664	 0.572
17.664	 0.320
17.728	 1.489
17.728	 6.492
17.856	 0.810
17.920	 1.305
17.920	 1.305
17.920	 4.007
17.920	 0.923
17.920	 2.360
17.920	 2.757
17.920	 2.064
17.920	 6.720
17.920	 1.086
17.920	 1.448
17.920	 3.665
18.112	 1.086
18.176	 2.290
18.176	 1.280
18.176	 1.350
18.176	 0.724
18.176	 0.572
18.176	 3.806
18.176	 1.145
18.176	 0.362
18.368	 0.590
18.432	 0.923
18.432	 3.665
18.432	 6.481
18.432	 1.864
18.432	 3.208
18.432	 2.896
18.432	 0.572
18.432	 3.727
18.432	 2.187
18.432	 4.636
18.432	 4.672
18.432	 0.362
18.432	 1.056
18.560	 2.988
18.624	 0.716
18.624	 1.145
18.688	 2.636
18.688	 4.924
18.688	 8.719
18.688	 1.145
18.688	 2.757
18.880	 1.145
18.880	 2.318
18.941	 1.618
18.944	 2.919
18.944	 2.429
18.944	 1.145
18.944	 2.611
18.944	 0.923
19.008	 2.548
19.008	 2.782
19.072	 0.181
19.200	 1.493
19.200	 1.999
19.200	 1.950
19.200	 2.202
19.200	 2.757
19.200	 3.974
19.200	 4.261
19.200	 4.419
19.200	 0.871
19.200	 0.923
19.200	 0.362
19.200	 0.362
19.262	 3.598
19.328	 0.286
19.456	 5.473
19.456	 0.724
19.456	 2.290
19.456	 2.721
19.456	 1.379
19.456	 1.639
19.456	 1.086
19.456	 5.638
19.456	 1.145
19.456	 2.064
19.456	 1.864
19.456	 2.896
19.520	 1.498
19.520	 5.367
19.712	 5.910
19.712	 2.064
19.712	 1.144
19.712	 0.572
19.712	 1.145
19.712	 1.717
19.712	 0.724
19.712	 0.572
19.840	 3.620
19.968	 3.620
19.968	 7.748
19.968	 3.620
19.968	 2.611
19.968	 0.923
19.968	 1.056
19.968	 0.362
19.968	 1.810
19.968	 1.864
20.096	 0.916
20.224	 3.482
20.224	 1.056
20.224	 2.429
20.224	 6.192
20.224	 1.729
20.224	 0.810
20.224	 2.769
20.224	 4.360
20.224	 0.572
20.224	 0.362
20.224	 0.810
20.224	 2.828
20.288	 6.262
20.480	 2.187
20.480	 5.120
20.480	 8.386
20.480	 1.305
20.480	 3.167
20.480	 4.762
20.480	 2.290
20.480	 5.479
20.480	 0.572
20.480	 2.360
20.733	 4.636
20.736	 1.639
20.736	 2.111
20.736	 1.280
20.736	 5.146
20.736	 4.944
20.736	 7.209
20.736	 1.379
20.736	 1.557
20.736	 0.724
20.736	 4.221
20.736	 1.717
20.736	 1.810
20.928	 2.096
20.992	 6.931
20.992	 6.527
20.992	 3.083
20.992	 0.923
20.992	 1.305
20.992	 1.717
20.992	 0.724
20.992	 0.362
20.992	 0.572
20.992	 0.231
20.992	 2.374
20.992	 0.722
21.184	 0.977
21.184	 0.860
21.248	 1.305
21.248	 1.639
21.248	 3.167
21.248	 6.446
21.248	 1.810
21.248	 1.056
21.376	 0.923
21.376	 1.891
21.501	 3.237
21.504	 2.290
21.504	 3.114
21.504	 3.415
21.504	 1.619
21.504	 4.199
21.504	 1.619
21.504	 1.379
21.568	14.999
21.632	 0.730
21.760	 6.763
21.760	 1.639
21.760	 1.557
21.760	 0.923
21.760	 3.566
21.822	 0.572
21.824	 1.305
21.888	 0.889
22.013	 1.619
22.016	 6.734
22.016	 1.448
22.016	 2.673
22.016	 1.833
22.016	 5.425
22.016	 4.700
22.016	 5.568
22.016	 0.572
22.016	 1.639
22.078	 0.602
22.144	 5.186
22.144	 2.919
22.205	 1.864
22.272	 4.615
22.272	 4.291
22.272	 3.338
22.272	 0.923
22.272	 9.230
22.272	 0.810
22.272	 1.280
22.272	 1.143
22.464	 0.749
22.528	 1.619
22.528	 5.620
22.528	 4.291
22.528	 9.444
22.528	 2.202
22.528	 2.919
22.528	 2.290
22.528	 5.431
22.528	 3.167
22.528	 1.143
22.528	 0.724
22.528	 1.810
22.529	 2.769
22.720	 1.604
22.781	 1.377
22.784	 1.999
22.784	 5.838
22.784	 3.114
22.784	 1.864
22.784	 2.064
22.784	 1.864
22.784	 0.572
22.784	 8.798
22.784	 0.572
22.784	 4.375
23.037	 1.810
23.040	 1.145
23.040	 2.318
23.040	 0.572
23.040	 4.971
23.040	 1.619
23.040	 1.056
23.040	 5.177
23.040	 6.831
23.040	 2.360
23.040	 0.362
23.040	 5.971
23.040	 0.810
23.040	 0.143
23.296	 3.692
23.296	 1.493
23.296	 2.429
23.296	 4.382
23.296	 7.424
23.296	 2.111
23.296	 1.619
23.296	 2.064
23.296	 0.810
23.296	 3.338
23.297	 3.093
23.297	 3.916
23.552	 1.950
23.552	 3.999
23.552	 7.799
23.552	 0.362
23.552	 5.938
23.552	 1.379
23.552	 1.032
23.613	 0.572
23.613	 1.864
23.744	 0.802
23.808	 0.923
23.808	 1.717
23.808	 2.769
23.808	 1.999
23.808	 4.471
23.808	 1.717
23.808	 1.619
23.808	 0.362
23.936	 2.550
24.000	 1.145
24.061	 0.722
24.064	 0.572
24.064	 0.810
24.128	 0.410
24.256	 7.973
24.256	 1.379
24.320	 5.081
24.320	 6.964
24.320	 1.950
24.320	 0.362
24.320	 1.196
24.320	 1.557
24.320	 0.362
24.320	 3.593
24.576	 2.429
24.576	 5.591
24.576	 2.111
24.576	 0.923
24.576	 0.264
24.576	 5.849
24.576	 5.724
24.576	 0.362
24.576	 4.404
24.576	 4.048
24.704	 1.460
24.832	 0.810
24.832	 3.840
24.832	 3.899
24.833	 0.362
24.960	 3.958
25.024	 2.290
25.024	 6.582
25.088	 4.352
25.088	 2.064
25.088	 3.328
25.088	 4.007
25.088	 6.676
25.089	 0.724
25.280	 7.146
25.344	 7.186
25.344	 0.923
25.344	 4.762
25.344	 1.493
25.344	 3.806
25.344	 0.572
25.344	 4.558
25.344	 7.973
25.344	 4.615
25.344	 3.183
25.344	 0.572
25.344	 2.996
25.345	 0.923
25.345	 1.717
25.472	 3.525
25.472	 2.612
25.600	 3.916
25.600	 1.493
25.600	 6.192
25.600	 3.849
25.600	 4.720
25.600	 4.419
25.600	 3.238
25.600	 1.557
25.600	 2.202
25.600	 6.869
25.600	 1.557
25.601	 1.619
25.601	 3.416
25.856	 3.840
25.856	 4.375
25.857	 2.828
25.857	 0.362
25.857	 5.278
25.920	 1.208
25.921	 0.716
26.112	 5.538
26.112	 5.655
26.112	 1.056
26.112	 3.974
26.173	 0.680
26.173	 1.568
26.177	 0.923
26.240	 1.691
26.368	 6.323
26.368	 2.187
26.368	 3.593
26.368	 5.615
26.369	 0.572
26.497	 2.073
26.621	 3.435
26.624	 1.134
26.624	 1.056
26.624	 2.896
26.624	 0.810
26.624	 0.362
26.624	 3.114
26.624	 0.326
26.624	 1.557
26.625	 1.431
26.625	 1.305
26.880	 1.557
26.880	 0.923
26.880	 1.280
26.880	 6.676
26.881	 4.375
26.881	 0.572
26.881	 9.941
27.009	 6.136
27.073	 0.916
27.133	 0.571
27.136	14.082
27.136	 6.987
27.136	 1.950
27.136	 7.186
27.136	 2.360
27.137	 1.950
27.264	 1.286
27.264	 1.243
27.328	 1.294
27.328	 0.958
27.328	 5.101
27.392	 7.322
27.392	 8.002
27.392	 2.985
27.392	 5.431
27.392	 1.846
27.392	 9.620
27.392	 5.473
27.520	 6.192
27.648	 4.471
27.648	10.546
27.648	 3.974
27.648	 3.566
27.648	 0.724
27.648	 1.145
27.776	 1.438
27.776	 0.694
27.904	 3.367
27.904	 1.619
27.904	 1.999
27.904	 1.999
27.904	14.857
27.905	 1.056
28.097	 1.448
28.160	 8.444
28.160	 1.810
28.160	 2.673
28.160	 1.557
28.160	 4.382
28.160	 0.572
28.160	 7.186
28.160	 1.056
28.160	 2.896
28.160	 8.039
28.416	 2.757
28.416	 1.717
28.416	 2.919
28.416	 1.379
28.416	 2.187
28.416	 0.923
28.416	 4.615
28.416	 8.204
28.416	 1.280
28.477	 2.834
28.672	 3.167
28.672	 1.305
28.672	 1.950
28.672	 1.493
28.672	 6.720
28.672	 1.557
28.673	 6.607
28.736	 2.611
28.864	 3.088
28.928	 2.111
28.928	 1.864
28.928	 1.493
28.928	 3.916
28.928	 7.697
28.928	 2.429
28.928	 5.838
28.928	 1.280
28.928	 0.724
28.929	 2.360
28.929	 3.114
29.184	 6.155
29.184	17.694
29.184	 4.536
29.184	 1.086
29.184	 5.655
29.184	 4.222
29.184	 2.064
29.184	 0.572
29.184	 0.923
29.185	 5.813
29.440	 3.566
29.440	 4.471
29.440	 5.382
29.440	 0.724
29.440	 2.560
29.440	 4.261
29.440	 1.810
29.441	 1.145
29.633	 4.482
29.693	 0.810
29.696	 8.452
29.696	 3.665
29.696	 3.083
29.696	12.892
29.697	 0.410
29.697	 1.056
29.697	 1.810
29.697	 0.810
29.697	 3.620
29.952	 1.056
29.953	10.608
29.953	 0.572
30.208	 8.583
30.208	 4.636
30.208	 1.619
30.337	 2.796
30.464	 0.810
30.464	 3.974
30.464	 2.919
30.465	 3.566
30.465	 1.280
30.465	 4.612
30.657	 0.859
30.720	 7.245
30.720	 3.093
30.720	 2.919
30.720	10.764
30.720	 4.672
30.721	 0.810
30.721	 5.615
30.973	 3.620
30.976	 0.923
30.977	 3.416
30.977	 1.280
30.977	 4.580
30.977	 9.220
31.168	 1.722
31.169	 4.017
31.232	10.524
31.232	 5.049
31.232	 8.719
31.232	 1.280
31.232	 4.419
31.232	 7.940
31.232	 1.619
31.232	 0.572
31.233	 0.724
31.233	 3.780
31.233	 2.828
31.233	 0.572
31.294	 0.602
31.488	 1.639
31.488	 2.673
31.488	11.846
31.489	 0.572
31.489	 2.429
31.741	 0.571
31.744	 0.923
31.744	 3.167
31.744	 1.280
31.745	 2.187
31.745	 1.379
31.745	 0.572
31.998	 9.476
32.000	 5.030
32.000	 5.894
32.000	20.419
32.000	 4.104
32.000	 9.137
32.000	 7.697
32.001	 1.379
32.001	 0.362
32.256	 0.572
32.256	 6.481
32.257	 0.572
32.257	 4.128
32.512	 3.278
32.513	 3.665
32.513	 4.360
32.513	 1.717
32.513	 1.493
32.513	 1.639
32.513	 1.056
32.513	 1.846
32.513	 2.862
32.641	 1.864
32.705	13.057
32.768	 4.471
32.768	 2.429
32.768	 5.910
32.768	 5.684
32.768	 4.720
32.768	 4.536
32.768	 5.152
32.768	 1.639
33.024	 1.846
33.024	 2.318
33.024	 8.738
33.024	 7.241
33.024	 2.896
33.025	 2.919
33.025	 0.572
33.025	 0.572
33.217	 4.007
33.277	 0.808
33.280	11.302
33.280	11.276
33.280	 1.280
33.281	 3.665
33.281	 0.724
33.281	 4.924
33.281	25.601
33.536	 9.849
33.536	 6.149
33.536	 3.874
33.536	 3.665
33.536	 1.493
33.537	 1.379
33.537	 1.280
33.537	 0.362
33.537	 5.843
33.537	 2.996
33.792	 7.322
33.792	 2.919
33.792	 1.379
33.792	 6.517
33.792	 2.919
33.856	 1.811
33.921	 0.462
34.048	12.554
34.048	 2.996
34.048	 3.665
34.048	 1.950
34.049	10.509
34.049	 0.724
34.304	 9.148
34.304	 1.448
34.304	 9.319
34.305	 0.724
34.305	 0.572
34.305	 1.639
34.369	 5.736
34.557	 4.104
34.560	 7.684
34.560	 2.064
34.561	 2.360
34.561	 2.573
34.561	 0.923
34.813	 5.837
34.816	 2.769
34.816	15.379
34.816	 0.810
34.816	 1.950
34.816	 4.636
34.816	 2.415
34.817	 2.611
35.072	 5.838
35.073	 1.056
35.073	 4.924
35.073	 3.974
35.073	 0.572
35.137	 3.974
35.326	 0.715
35.328	 5.400
35.328	 1.846
35.328	 2.202
35.521	 3.612
35.584	 2.290
35.584	 5.126
35.584	 1.145
35.585	 0.810
35.585	 3.620
35.585	 3.974
35.649	 1.461
35.840	 1.717
35.841	 5.473
35.905	 2.187
36.096	 5.954
36.096	 0.724
36.097	 0.810
36.097	 1.846
36.097	 3.114
36.097	 2.534
36.349	 3.367
36.352	 2.318
36.352	 3.114
36.352	 1.717
36.352	 2.862
36.353	 2.429
36.353	 6.955
36.353	 2.064
36.608	 0.810
36.608	 1.810
36.608	 2.985
36.609	 5.993
36.609	 1.056
36.609	 0.923
36.609	 1.493
36.864	 0.923
36.864	 6.229
36.864	 1.448
36.864	 4.672
36.865	 0.572
36.865	 1.143
36.865	 3.665
37.120	 7.534
37.120	 9.441
37.120	 1.810
37.120	 4.291
37.120	 4.048
37.120	 1.717
37.121	 3.665
37.121	 2.673
37.121	11.876
37.121	 0.362
37.376	 3.916
37.376	 5.724
37.376	 2.360
37.376	 2.064
37.377	 0.979
37.377	 3.840
37.377	 3.083
37.438	 4.364
37.505	 0.905
37.568	 3.535
37.632	 3.167
37.632	10.085
37.633	 1.056
37.633	 0.572
37.633	 1.810
37.633	 9.691
37.633	 1.717
37.633	 6.720
37.633	 1.619
37.761	 6.209
37.825	12.586
37.888	 2.290
37.888	 1.846
37.888	10.861
37.888	 2.611
37.889	 5.431
37.889	 1.056
37.889	 0.572
37.889	 4.924
38.144	 1.145
38.144	 1.145
38.145	 1.280
38.145	 0.923
38.145	 7.371
38.336	 2.509
38.400	 2.202
38.400	 2.996
38.400	 6.661
38.401	 0.572
38.401	 6.026
38.401	 3.093
38.656	 8.002
38.656	 3.415
38.656	 7.464
38.656	 2.360
38.656	 3.114
38.657	 1.864
38.912	 4.222
38.912	 1.493
38.913	 7.455
38.913	 0.572
38.913	 8.483
38.913	 0.362
38.913	 2.290
38.913	 2.111
38.913	 0.724
39.041	 5.101
39.168	 4.891
39.169	 3.620
39.169	 9.812
39.169	 2.064
39.361	 4.481
39.424	 0.572
39.425	 1.145
39.425	 1.844
39.425	 0.724
39.425	 1.716
39.489	 4.443
39.677	 2.064
39.680	 0.724
39.680	 4.375
39.681	 2.986
39.873	 3.641
39.936	 3.874
39.936	12.331
39.937	 4.222
39.937	 7.637
40.192	 3.278
40.192	 1.145
40.192	 4.136
40.193	 3.874
40.193	11.986
40.193	 0.724
40.193	 0.572
40.448	 4.048
40.449	 0.923
40.510	 6.152
40.704	 1.379
40.704	 1.950
40.705	 0.572
40.705	 1.810
40.897	 5.069
40.897	 1.493
40.897	10.555
40.960	 4.615
40.960	 4.238
40.961	 3.338
40.961	 4.345
41.216	 0.923
41.217	 7.281
41.217	 2.573
41.217	 0.810
41.217	 5.667
41.345	 0.264
41.472	 2.360
41.473	 1.086
41.473	 2.862
41.728	 3.093
41.728	 1.557
41.728	 6.542
41.729	 2.611
41.984	 5.120
41.984	19.338
41.985	 1.280
41.985	 2.673
41.985	 8.510
41.985	 0.810
42.240	 4.636
42.241	 1.863
42.369	 3.139
42.433	 1.478
42.496	 3.665
42.496	 4.128
42.497	 1.999
42.497	 0.810
42.497	 3.328
42.561	 3.664
42.753	 2.573
42.753	 0.362
42.753	 1.379
42.753	 2.862
42.816	 0.659
42.945	 8.035
42.945	 0.572
43.008	 2.560
43.009	 0.724
43.009	 8.738
43.201	 0.405
43.264	 0.572
43.264	 1.639
43.264	 2.429
43.264	 5.804
43.265	10.801
43.456	 1.717
43.517	 2.636
43.520	21.262
43.520	 6.676
43.520	 4.471
43.521	 2.862
43.521	 1.739
43.521	 1.056
43.521	 0.362
43.649	 1.002
43.776	 7.701
43.776	 3.874
43.776	 2.721
43.776	 1.619
43.777	 5.400
43.777	 1.493
43.837	 1.747
44.032	 5.043
44.033	 3.593
44.033	 5.221
44.033	 0.724
44.062	 0.383
44.288	 3.083
44.288	 1.493
44.288	 3.328
44.288	 8.708
44.288	 0.231
44.289	13.119
44.481	 2.834
44.544	 2.611
44.544	 3.665
44.673	 7.534
44.737	 0.889
44.800	 3.620
44.800	 3.367
44.800	 4.971
44.800	 4.222
44.801	10.78
44.801	 0.724
44.801	 5.971
45.056	 2.290
45.057	 1.950
45.057	 0.362
45.249	 2.940
45.312	 1.086
45.312	 5.538
45.313	 3.083
45.568	 2.828
45.568	16.689
45.824	 5.526
45.825	12.13
45.825	 2.064
45.825	 1.810
45.825	 5.146
46.080	14.956
46.081	 3.620
46.081	 3.367
46.336	 8.208
46.336	 4.382
46.336	 5.655
46.336	 8.452
46.336	 0.810
46.337	 7.173
46.337	 1.280
46.337	 1.864
46.337	 2.187
46.398	11.279
46.592	 2.318
46.592	 1.639
46.592	 3.328
46.593	 1.280
46.593	 1.145
46.593	 1.639
46.721	 1.332
46.849	 2.611
46.849	 1.145
46.849	 1.717
47.104	 7.464
47.104	21.773
47.105	 2.573
47.105	15.625
47.360	 2.919
47.360	 2.187
47.360	 4.830
47.360	 3.415
47.361	 3.338
47.361	 0.724
47.361	 0.572
47.616	 2.721
47.616	12.299
47.745	 4.935
47.872	 1.950
47.872	 4.857
47.872	 7.718
47.873	 1.145
47.873	 6.607
48.125	 0.921
48.128	 2.828
48.128	 5.221
48.128	 1.493
48.129	 0.572
48.129	 0.572
48.129	 0.572
48.129	 6.446
48.385	 1.086
48.385	 0.572
48.577	 0.916
48.640	 3.874
48.896	 5.724
48.896	 4.382
48.896	 6.607
48.897	 2.828
48.897	 0.810
48.897	 0.923
48.897	 0.362
49.089	 0.429
49.152	 4.136
49.152	 4.352
49.153	 1.557
49.409	 3.974
49.601	 2.975
49.664	13.4
49.665	 4.382
49.665	 1.379
49.725	 1.379
49.857	 2.099
49.920	 4.924
49.921	 1.639
50.176	 3.444
50.176	 5.177
50.176	 5.152
50.177	 1.639
50.177	 3.692
50.177	 4.382
50.177	 0.923
50.177	 2.111
50.241	 8.009
50.369	 1.448
50.432	 2.919
50.432	 3.208
50.433	 8.464
50.689	 2.318
50.689	11.056
50.944	 5.976
50.944	 7.718
50.944	 6.085
51.009	 1.775
51.200	 4.048
51.200	15.496
51.201	 2.187
51.201	 3.620
51.456	 6.955
51.457	 4.128
51.457	 2.064
51.457	 7.953
51.457	 2.862
51.712	 3.566
51.712	 2.202
51.713	 0.572
51.713	 5.838
51.713	 0.810
51.841	 8.518
51.904	 0.453
51.969	 2.560
51.969	 1.145
52.030	 2.127
52.206	13.35
52.224	 7.455
52.225	 1.493
52.225	 0.724
52.417	10.657
52.480	 7.428
52.481	 1.086
52.481	 1.639
52.481	 0.810
52.481	 0.810
52.545	 1.856
52.736	 1.810
52.736	 4.971
52.736	 3.620
52.992	12.312
52.993	 0.923
52.993	 0.572
52.993	 0.810
53.248	 3.665
53.248	 2.172
53.249	13.827
53.249	 3.167
53.441	13.334
53.504	 4.615
53.505	 5.684
53.760	 3.167
53.760	11.406
53.761	 1.864
54.016	 3.338
54.145	 0.923
54.272	 6.085
54.272	 2.172
54.272	 3.125
54.272	 3.114
54.337	 0.870
54.401	 4.077
54.529	 2.064
54.784	 2.360
54.784	 5.655
54.785	 2.202
54.785	 3.727
54.785	 3.780
54.785	 0.572
55.040	 8.291
55.040	 1.379
55.041	 7.282
55.041	 0.724
55.296	 3.125
55.297	 0.572
55.297	 6.229
55.553	 1.864
55.553	 4.382
55.553	 5.684
55.808	 1.810
55.809	 1.619
55.809	 0.810
55.809	 5.473
56.065	 2.064
56.065	 3.083
56.065	 1.846
56.065	 5.497
56.320	 4.891
56.320	 4.222
56.320	 6.085
56.320	 2.862
56.320	13.59
56.321	 1.084
56.513	 5.146
56.576	 1.717
56.577	 0.362
56.577	 3.114
56.832	 4.762
57.088	 4.971
57.089	 2.360
57.089	 0.923
57.345	 8.738
57.601	 1.305
57.601	10.509
57.856	 5.526
57.857	 7.442
57.857	 2.360
58.112	 2.828
58.113	 4.404
58.113	 1.557
58.113	 4.128
58.113	 0.810
58.113	 1.639
58.369	 1.985
58.369	 4.783
58.369	 5.221
58.430	 6.426
58.497	 0.820
58.561	 4.672
58.621	 1.863
58.880	 1.864
58.881	 6.415
58.881	 6.192
58.881	 6.197
59.136	 4.944
59.136	 1.280
59.136	 1.379
59.137	 7.241
59.329	 8.749
59.392	 1.280
59.393	 0.923
59.393	 0.572
59.454	 2.580
59.648	18.863
59.648	 8.964
59.649	11.276
59.649	 6.149
59.712	 4.955
59.904	11.546
59.904	 5.152
59.905	10.014
60.160	 5.938
60.160	 4.167
60.161	 3.482
60.289	 0.466
60.545	 1.417
60.672	11.611
60.672	 7.322
60.673	 3.620
60.673	 2.111
60.673	 1.086
60.673	 2.996
60.928	 7.684
60.928	 5.910
60.929	 3.093
60.929	 0.810
61.184	 6.582
61.440	 8.816
61.441	 3.727
61.441	 4.222
61.441	 6.734
61.694	18.69
61.697	 0.724
61.697	 1.810
61.697	 2.202
61.952	 0.572
61.952	 1.379
61.953	 1.145
61.953	11.337
62.208	 7.030
62.208	 2.360
62.209	 1.145
62.401	 5.278
62.465	 1.639
62.465	 0.231
62.465	 4.167
62.465	 3.908
62.465	 3.665
62.657	 7.318
62.720	 6.676
62.913	 3.929
62.976	 7.886
62.976	 3.874
62.977	 0.810
62.977	11.865
62.977	 4.222
63.232	 7.697
63.232	 7.886
63.232	 7.952
63.233	 5.184
63.488	 1.619
63.488	 5.753
63.488	 1.846
63.489	 7.209
63.489	 1.999
63.745	 2.919
63.745	 2.769
63.745	 1.557
63.873	 8.776
64.001	 0.724
64.001	 1.557
64.001	 1.639
64.128	 2.005
64.257	 1.145
64.257	23.83
64.510	 0.923
64.512	 7.907
64.513	 3.083
64.513	 1.305
64.577	 0.590
64.768	 6.085
64.769	 1.810
64.769	 0.923
64.769	 1.379
65.024	 7.331
65.025	 1.639
65.025	 6.165
65.025	14.083
65.281	 2.064
65.281	12.71
65.281	10.555
65.281	 1.448
65.537	 1.557
65.665	14.676
65.792	 5.838
65.793	 4.382
66.048	30.551
66.048	 1.619
66.049	 0.810
66.304	 6.700
66.304	 1.379
66.305	 1.557
66.560	16.836
66.816	 6.085
66.816	 2.636
66.816	 6.700
66.817	 1.717
66.945	 2.988
67.072	 4.720
67.073	 4.167
67.073	 3.916
67.073	 2.611
67.328	 9.486
67.329	 6.988
67.329	 1.950
67.584	 4.924
67.584	 5.655
67.585	 2.896
67.841	 2.862
67.841	 5.724
68.096	 5.400
68.353	 2.202
68.417	 3.167
68.608	 7.241
68.609	 0.810
68.864	 2.985
68.864	 2.757
68.864	 2.111
68.864	 5.615
68.864	 5.101
69.120	 6.802
69.633	 5.526
69.633	21.549
69.633	 1.717
69.633	 3.083
69.888	 3.114
69.889	 2.064
69.889	 5.724
70.144	 1.493
70.400	13.178
70.401	 0.572
70.401	 0.923
70.401	 0.773
70.913	 4.291
70.914	 3.806
71.168	 8.798
71.422	 2.187
71.424	 2.111
71.425	 0.724
71.681	 7.371
71.937	 6.817
72.193	 8.764
72.448	 9.051
72.448	 7.832
72.449	 4.048
72.450	 0.810
72.704	 4.672
73.217	 2.111
73.217	14.612
73.473	11.404
73.728	 2.996
73.729	 1.810
74.177	 5.177
74.304	 0.716
74.496	14.117
74.497	 1.243
74.752	 9.319
74.753	 8.749
75.009	 3.114
75.201	 3.638
75.265	 1.280
75.265	 1.379
75.265	 1.145
75.393	 2.450
75.520	 3.849
75.521	 2.187
75.776	 2.290
75.777	 4.185
76.032	 0.923
76.289	 1.280
76.481	 3.416
76.545	 3.083
76.545	 1.379
76.607	 9.220
76.609	 1.559
76.801	 5.514
76.801	 8.256
77.054	 1.810
77.056	 2.996
77.056	 2.985
77.057	 2.996
77.185	 0.810
77.312	 3.083
77.312	 5.184
77.313	 0.810
77.568	 4.238
77.568	 2.064
77.568	 2.187
77.570	 2.996
77.824	 2.360
77.824	 5.030
77.825	 1.379
77.826	 1.145
78.080	 3.840
78.080	 1.864
78.081	 4.971
78.081	 3.566
78.082	 1.717
78.593	 0.572
78.593	 5.184
78.594	 0.362
78.848	 2.636
78.849	 0.724
79.041	 1.088
79.104	 2.318
79.104	 1.379
79.106	 0.572
79.618	 0.572
79.872	16.077
80.065	 0.871
80.384	 4.615
80.384	16.927
80.384	 3.338
80.386	 0.724
80.640	 3.278
80.641	 1.379
80.896	21.601
80.897	 3.665
80.897	 2.290
80.897	 4.720
81.152	 4.636
81.152	 6.582
81.152	 3.620
81.154	 1.086
81.218	35.377
81.408	 5.184
81.601	 0.923
81.665	 0.572
81.793	 1.218
81.921	 0.724
82.176	 2.673
82.177	 6.192
82.177	 3.874
82.432	16.392
82.433	 8.444
82.433	 2.573
82.433	 1.448
82.689	 3.083
82.689	 4.536
82.690	 2.919
82.817	 2.318
82.944	 1.717
83.713	 2.769
83.905	 3.853
83.968	 7.455
83.969	 2.996
83.970	 3.482
83.970	 1.717
84.224	31.183
84.481	 3.208
84.481	 0.923
84.738	 2.919
84.738	 3.114
84.992	 5.910
84.992	 1.145
84.993	 0.724
84.993	 3.899
85.248	 1.639
85.248	 4.762
85.249	 4.382
85.250	 6.026
86.017	 2.862
86.017	 2.111
86.018	 6.988
86.272	 2.202
86.528	 2.919
86.530	 1.056
87.041	 0.810
87.041	 1.145
87.552	 3.874
87.554	 1.086
87.554	 9.812
87.808	 1.846
87.808	 5.526
88.064	 3.727
88.066	 0.923
88.832	 3.444
88.834	 0.810
89.088	 2.919
89.089	 6.476
89.601	 4.291
89.856	 3.874
89.856	 5.278
90.112	 3.208
90.112	 2.360
90.112	 2.202
90.369	 0.810
91.134	 4.222
91.136	10.801
91.138	 2.318
91.329	 3.692
91.392	17.71
91.393	 2.360
91.585	12.332
92.160	 5.101
92.160	 4.104
92.416	 4.291
92.737	 3.319
92.930	16.512
93.440	10.424
93.440	 6.149
93.954	 4.419
93.954	 5.221
94.208	 3.974
94.720	 7.534
94.722	 6.700
94.977	 2.767
95.233	11.585
95.234	 6.476
95.488	 1.639
95.490	 2.611
95.746	 4.375
95.810	 2.382
96.002	 1.319
96.129	 0.405
96.512	 4.419
96.513	 3.114
96.768	 3.556
96.768	 5.443
97.281	 2.347
97.536	 2.172
97.538	 4.529
98.050	 1.145
98.050	 4.128
98.050	 5.030
98.306	 4.891
98.306	 1.280
98.560	 1.145
98.562	 5.431
98.626	 2.970
98.881	 3.138
99.586	 2.415
99.842	 2.111
100.098	 1.527
100.481	 6.623
100.608	 2.919
100.610	 0.572
101.122	 1.056
101.122	 1.493
101.182	 4.871
101.633	 2.290
101.634	 2.919
101.888	 4.375
102.144	 1.864
102.146	 7.886
102.338	31.849
102.402	 4.857
102.530	 1.485
103.426	 6.405
103.426	 5.753
103.938	 0.923
103.938	 0.572
104.448	 8.764
104.449	 7.241
104.962	 8.809
105.472	 2.560
105.474	19.262
105.922	 2.429
105.984	 6.802
106.498	 9.527
106.754	14.373
107.266	 0.810
107.522	 9.159
107.776	 8.693
107.778	 1.448
108.034	 0.923
108.544	 1.280
108.546	 0.810
108.546	 1.619
108.610	 8.816
108.800	 0.572
108.802	 1.619
108.802	 0.923
109.250	 0.932
109.312	 3.415
109.314	 6.676
110.082	 1.086
110.338	 1.086
110.594	 4.199
110.594	 2.828
111.104	 3.999
111.106	 9.217
111.426	 3.027
111.616	 6.676
111.618	13.036
111.618	 2.111
111.618	 7.241
111.618	 2.360
111.872	 4.871
112.066	10.419
112.384	 1.493
112.384	11.31
112.386	 1.086
112.639	 7.455
112.642	 0.462
113.410	 1.086
113.664	 2.360
113.920	 1.619
113.921	 3.125
113.922	17.755
114.690	26.576
114.690	 3.238
115.458	 1.999
116.354	 2.563
116.482	 0.923
116.736	 5.400
116.930	 1.056
116.994	 2.636
117.250	 2.318
117.762	 3.208
118.018	 0.362
118.274	 1.145
118.274	 8.942
118.528	15.691
118.528	 2.673
119.807	 2.429
119.808	 9.798
120.320	 4.871
120.322	 3.167
120.578	 5.515
120.578	10.996
120.770	12.237
121.088	 1.448
121.090	 1.448
121.538	 5.838
122.112	 7.442
122.178	 0.659
122.370	 0.572
122.624	 2.290
122.626	 0.923
122.626	 2.429
122.882	 0.724
123.138	 3.167
123.138	 2.064
123.394	 1.145
