t90	t90_error
0.880	 0.910
0.896	 1.032
0.896	 1.280
0.896	 0.286
0.896	 0.264
0.896	 0.792
0.896	 0.202
0.896	 0.590
0.896	 0.231
0.896	 0.820
0.896	 0.181
0.896	 0.923
0.896	 0.143
0.896	 1.134
0.960	 0.960
0.960	 1.002
0.960	 0.590
0.960	 1.729
0.960	 0.716
0.960	 0.659
0.960	 0.272
0.960	 0.264
0.960	 0.264
0.960	 0.091
0.960	 1.056
0.960	 0.781
0.960	 1.032
0.960	 1.042
0.960	 0.528
0.960	 0.320
0.960	 0.405
0.960	 0.640
0.960	 0.834
0.960	 0.143
0.960	 1.611
0.960	 0.091
0.960	 0.429
0.960	 0.547
0.960	 0.231
0.960	 0.345
0.960	 0.143
0.960	 1.292
0.960	 0.138
0.992	 1.226
1.024	 0.202
1.024	 0.362
1.024	 1.451
1.024	 0.091
1.024	 0.580
1.024	 0.551
1.056	 0.604
1.056	 0.451
1.088	 0.977
1.088	 0.466
1.088	 0.143
1.088	 0.771
1.088	 1.180
1.088	 0.231
1.088	 0.487
1.136	 0.132
1.152	 1.288
1.152	 1.168
1.152	 1.190
1.152	 1.032
1.152	 0.091
1.152	 0.590
1.152	 2.244
1.168	 0.102
1.216	 1.748
1.216	 0.487
1.264	 0.471
1.280	 0.528
1.280	 0.905
1.280	 1.368
1.280	 1.026
1.280	 0.781
1.280	 1.864
1.280	 1.358
1.280	 1.557
1.280	 0.572
1.280	 1.086
1.280	 0.202
1.280	 1.493
1.280	 1.032
1.280	 0.945
1.280	 0.689
1.280	 0.870
1.280	 0.572
1.280	 0.861
1.344	 1.558
1.344	 0.746
1.344	 0.792
1.344	 0.264
1.344	 1.802
1.408	 0.091
1.408	 0.272
1.408	 0.231
1.408	 0.466
1.408	 0.264
1.408	 0.889
1.408	 0.181
1.440	 0.506
1.472	 0.771
1.472	 0.143
1.472	 1.864
1.472	 0.916
1.472	 1.537
1.472	 0.551
1.472	 1.974
1.536	 0.091
1.536	 1.405
1.536	 0.572
1.536	 2.360
1.536	 1.056
1.536	 1.409
1.536	 0.842
1.536	 0.905
1.536	 1.619
1.600	 0.143
1.600	 0.143
1.600	 0.905
1.600	 2.673
1.600	 1.243
1.600	 1.145
1.600	 0.779
1.600	 0.730
1.600	 0.951
1.600	 0.854
1.600	 1.139
1.664	 0.730
1.664	 0.264
1.664	 0.607
1.664	 1.421
1.664	 0.659
1.664	 0.968
1.664	 0.453
1.664	 0.202
1.664	 0.453
1.664	 0.143
1.664	 0.500
1.664	 1.900
1.664	 0.234
1.664	 0.286
1.728	 0.231
1.728	 0.373
1.728	 1.296
1.728	 2.166
1.728	 1.336
1.728	 1.346
1.728	 0.771
1.728	 1.680
1.728	 0.653
1.728	 0.820
1.792	 3.167
1.792	 1.056
1.792	 0.810
1.792	 0.923
1.792	 0.462
1.792	 0.923
1.792	 1.286
1.792	 1.993
1.792	 0.773
1.792	 0.923
1.792	 0.091
1.856	 0.898
1.856	 1.296
1.856	 0.898
1.856	 0.181
1.856	 0.405
1.856	 0.580
1.917	 0.551
1.920	 1.675
1.920	 1.223
1.920	 2.375
1.920	 0.779
1.984	 2.049
1.984	 1.541
1.984	 0.543
1.984	 1.350
1.984	 0.968
2.045	 0.229
2.048	 0.410
2.048	 0.466
2.048	 3.620
2.048	 0.951
2.048	 1.086
2.048	 1.557
2.048	 1.778
2.048	 0.572
2.048	 1.379
2.048	 0.951
2.048	 2.064
2.112	 0.405
2.112	 0.580
2.112	 1.134
2.176	 0.905
2.176	 0.898
2.176	 0.405
2.176	 2.833
2.240	 0.143
2.240	 0.781
2.240	 1.145
2.240	 1.605
2.240	 2.084
2.240	 1.404
2.240	 1.002
2.240	 0.286
2.240	 0.232
2.304	 1.379
2.304	 2.538
2.304	 1.619
2.304	 1.527
2.304	 2.111
2.304	 0.286
2.304	 0.453
2.304	 0.429
2.304	 1.280
2.304	 0.487
2.304	 1.379
2.304	 2.862
2.304	 3.444
2.304	 0.689
2.368	 0.781
2.368	 1.270
2.368	 0.272
2.432	 0.590
2.432	 1.356
2.432	 0.859
2.432	 0.779
2.432	 0.771
2.560	 0.607
2.560	 0.832
2.560	 1.619
2.560	 0.572
2.560	 0.968
2.560	 0.202
2.560	 0.516
2.560	 1.680
2.560	 5.184
2.560	 1.741
2.624	 0.779
2.624	 0.181
2.624	 0.326
2.624	 0.462
2.624	 0.810
2.624	 0.300
2.688	 0.771
2.688	 0.091
2.752	 0.264
2.752	 3.089
2.752	 1.569
2.752	 1.346
2.816	 1.379
2.816	 0.572
2.816	 0.320
2.816	 0.231
2.816	 0.320
2.816	 0.572
2.816	 1.557
