# From Tsvetkova, 2017
# E_p of time integrated spectrum over T_100 of GRBs
#E_iso [erg],         E_p,i,z [keV] 
9.2625784276252e+52, 3952.7446688091
4.2098453754988e+49, 712.63059332740
1.6865758245556e+50, 966.23415693339
4.9736267461235e+50, 662.08529025664
5.8495611812632e+50, 883.51176339781
2.0657059153031e+51, 1018.8672344904
1.9569743220175e+51, 836.73042390105
3.0710001909316e+51, 802.71932833029
6.4301214836161e+51, 1035.0882249569
6.4301214836161e+51, 1079.6872648843
4.3252162679919e+51, 1216.0276714141
5.6935298865578e+52, 6835.0867087274
